country,lat,lon
Albania,41.000028,19.9999619
Algeria,36.7729333,3.0588445
Australia,-24.7761086,134.755
Bahrain,26.1551249,50.5344606
Bangladesh,24.4769288,90.2934413
Belgium,50.6402809,4.6667145
Bolivia,-17.0568696,-64.9912286
Brazil,-10.3333333,-53.2
Canada,61.0666922,-107.991707
Chile,-31.7613365,-71.3187697
China,35.000074,104.999927
Colombia,4.099917,-72.9088133
Finland,63.2467777,25.9209164
France,46.603354,1.8883335
Georgia,32.3293809,-83.1137366
Germany,51.1638175,10.4478313
Hong Kong,22.2792968,114.1628907
India,22.3511148,78.6677428
Indonesia,-2.4833826,117.8902853
Iraq,33.0955793,44.1749775
Italy,42.6384261,12.674297
Jamaica,18.1850507,-77.3947693
Japan,36.5748441,139.2394179
Malaysia,4.5693754,102.2656823
Mexico,23.6585116,-102.0077097
Morocco,28.3347722,-10.3713379
Netherlands,52.2434979,5.6343227
New Zealand,-41.5000831,172.8344077
Nigeria,9.6000359,7.9999721
Norway,61.1529386,8.7876653
Oman,21.0000287,57.0036901
Peru,-6.8699697,-75.0458515
Philippines,12.7503486,122.7312101
Poland,52.215933,19.134422
Puerto Rico,18.2247706,-66.4858295
Russia,64.6863136,97.7453061
Singapore,1.357107,103.8194992
South Africa,-28.8166236,24.991639
South Korea,36.638392,127.6961188
Spain,39.3260685,-4.8379791
Sweden,59.6749712,14.5208584
Switzerland,46.7985624,8.2319736
Taiwan,23.9739374,120.9820179
Thailand,14.8971921,100.83273
Türkiye,39.294076,35.2316631
Ukraine,49.4871968,31.2718321
United Arab Emirates,24.0002488,53.9994829
United Kingdom,54.7023545,-3.2765753
United States,39.7837304,-100.445882
Vietnam,15.9266657,107.9650855
